PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
C[C@@H]1CN(C(=O)CCCN2C(=CN=N2)CO[C@H]1CN(C)C(=O)OC3=CC=C(C=C3)OC)[C@H](C)CO,0
C1CC(=N)C2=C(C3=CC=CC=C3C(=C2C1=N)O)O,1
CN1C(=O)C2=C(N1C/C=C/C3=CC=CC=C3)C=CC(=C2)NC(=S)NC4CC4,0
COC1=CC=C(C=C1)C2=NN(C(=N2)N)C(=O)C3=CC=CS3,0
CC(C)(C)NC(=O)CCN(C1=NS(=O)(=O)C2=CC=CC=C21)/N=C/C3=CC=NC=C3,0
C1COC2=C(O1)C=CC(=C2)C(=O)COC(=O)C3=CC=CC=C3N,0
CCCCCC1=CC(=O)OC2=C1C(=CC(=C2C(CCN3CCCC(C3)C)C4=CC=C(C=C4)N(C)C)OC)OC,1
C1=CC=C2C(=C1)N=C(O2)SC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],1
C1=CC(=CN=C1)C(=O)NNC(=O)CCN2C(=O)/C(=C/C3=CC=C(C=C3)F)/SC2=S,0
CCCOC1=CC=C(C=C1)N2C(=O)CC(C2=O)SCCN.Cl,1
CCCN1C(=O)/C(=C\2/C=CC3=CC=CC=C3N2CC)/SC1=S,1
CN1C=CC2=C(C=C3C4CCC(C3=C21)O4)N5CCCCCCC5,1
C[C@@H](C(=O)NCC1=CC=C(C=C1)OC)NC(=O)C2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)F,0
COC1=C(C=CC(=C1)/C=C\2/C(=O)N3CCCN=C3S2)O,0
CC(C)NC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,1
COC1=C(C=C(C=C1)CCN2C(=C(C(=O)NC2=O)C=NC3=CC=C(C=C3)F)O)OC,0
CN(CC1=CC=C(C=C1)F)C(=O)CCC2=NN=C(O2)C3=CC=CC=C3,0
C1CCCN(CC1)N=CC2=CC(=C(C=C2)Cl)[N+](=O)[O-],1
CCC(C)NCCCOC1=C(C=C(C=C1)/C=C/C)OC.C(=O)(C(=O)O)O,1
C1CN(CCN1C2=CC=CC=N2)/N=C/C3=CC=CC4=CC=CC=C43,1
COC1=CC=C(C=C1)N2CCN(CC2)C3=C(N=C(O3)COC4=C(C=C(C=C4)Cl)Cl)C#N,1
CCC1=CC(=O)OC2=C1C(=C(C(=C2)C)CN3CCCC(C3)C)O,1
C1CC(=NC2=C(C=C(C=C2)Br)C#N)N(C1)C3=CC=CC=C3,0
CC(C)COC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,0
CC(=O)NC1=CC=C(C=C1)C(=S)NCC2=CC=CO2,0
C=CCN1C=C/C(=C\C=C(C#N)C#N)/C2=CC=CC=C21,1
CC(C1=NC=CS1)N(C)C(=O)C2=NOC(=C2)COC3=CC=C(C=C3)C(=O)C,0
C1=CC=C(C=C1)NC2=C(C=C(C=C2)Cl)[N+](=O)[O-],1
CC1=C(C=C(C=C1)C(=O)N/C(=C\C2=CC=CO2)/C(=O)NCCCN3C=CN=C3)C,1
CN(C)C1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,1
C1=CC=C2C(=C1)C(=O)C3=C(C=C(C(=C3C2=O)N)C(=O)O)N,1
C[C@@H](C(=O)N1CCN(CC1)C2=NC(=NC(=N2)NCCOCCOCCOCC#C)N3CCN(CC3)C(=O)[C@H](C(C)C)N4C=C(N=N4)CCO)N5C=C(N=N5)CCC[NH+]=C(N)N.[Cl-],0
CC1=C(SC2=NC=NC(=C12)N3CCC(CC3)C(=O)NC4=C(C=CC(=C4)C(F)(F)F)OCC(F)(F)F)C,0
C1CN(CCN1CC2=CC3=C(C=C2Br)OCCO3)C4=CC=CC=C4,1
CCOC1=CC2=C(C=C1)N(C(C3=C2C(=S)SS3)(C)C)C(=O)C4=CC=CO4,1
CN(C)C1=CC=C(C=C1)C2=CC(=CC=C2)C3CC=CC4C3C(=O)N(C4C5=CC=C(C=C5)C(F)(F)F)CC6=CC=CC=C6,0
CC1=CC(=C(C=C1)NC(=O)NC(=O)COC2=C(C=C(C=C2)Cl)Cl)C,0
COC1=C(C(=CC=C1)OC)OCCCCN2C=NC3=CC=CC=C3C2=O.C(=O)(C(=O)O)O,1
CCCCCCCCSC1=CC(=O)C(=C(C1=O)OC)OC,1
C1CN(CCN1C(=O)COC(=O)CCC2=NC3=CC=CC=C3C(=O)N2)S(=O)(=O)C4=CC=CC=C4,0
CC1=CC(=C(C(=C1)C)NC(=O)C2=CC3=NC=CN=C3C=C2)C,0
C1=CC(=CC=C1CN2C(=O)/C(=C/C3=CC=C(O3)C4=CC(=C(C=C4)C(=O)O)Cl)/NC2=O)Cl,0
C1=CC=C(C=C1)C2=C(SC(=N2)N)N=NC3=CC=CC4=CC=CC=C43,1
COC1=CC(=C(C=C1)OC)NC2C3=CC=CC=C3C(=O)N2CC4=CC5=C(C=C4)OCO5,1
C/C(=N\NC(=O)C1=CC(=NC2=CC=CC=C21)C3=C(C=CC(=C3)OC)OC)/C4=CN=CC=C4,0
CC(C)(C)C1=CC=C(C=C1)NC(=O)C2=NOC(=C2)C3CCCN(C3)C(=O)CC4=CC=C(C=C4)N(C)C,1
COC1=CC(=C(C=C1)S(=O)(=O)N2CCN(CC2)CCC3=CC=CC=C3)OC,0
CC1=CC2=C(C=C1)OC(=C2C)C(=O)N(CC3=CC=C(C=C3)N(C)C)C4CCS(=O)(=O)C4,1
CC(C)CC(C(=O)N1CCN2C1=NC3=CC=CC=C32)NS(=O)(=O)C4=CC5=C(C=C4)N(CC5)C(=O)C,0
CN1C(=NN=C1SCC(=O)NC2=CC=CC=C2OC)CNC(=O)C3=CC=C(C=C3)OC,0
CC1CC2=C(S1)C(=O)N(C(=N2)SCC(=O)N3CCN(CC3)C4=CC=CC=C4)CCOC,0
CC1CCCC(N1/N=C/C=C/C2=CC=CC=C2[N+](=O)[O-])C,1
C1=CC(=CC=C1C2=NC3=C(C=CC(=C3)Cl)C(=O)N2O)[N+](=O)[O-],0
